rank,start_date,end_date,duration_days,peak_date,peak_k0001,peak_k001,peak_k01,peak_omega,components_json
21,1466-07-16T12:00:00Z,1466-07-26T12:00:00Z,11,1466-07-21T12:00:00Z,1,2,2,3.1676814556121826,"[{""component_p"":7.298717537196353e-05,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]},{""component_p"":0.0009312622714787722,""best_module_id"":""m036"",""best_module_label"":""Pluto\u2013Uranus\u2013Neptune midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m036""],""bodies"":[""Pluto"",""Uranus"",""Neptune""]}]"
22,1821-03-29T12:00:00Z,1821-04-08T12:00:00Z,11,1821-04-02T12:00:00Z,1,2,2,3.1546876430511475,"[{""component_p"":8.65033216541633e-05,""best_module_id"":""m055"",""best_module_label"":""Neptune\u2013Mars\u2013Jupiter\u2013Saturn 75/90/97.5 rail"",""families"":[""f14_2000_mar10"",""f16_2020_mar11""],""module_ids"":[""m055"",""m068""],""bodies"":[""Neptune"",""Mars"",""Jupiter"",""Saturn""]},{""component_p"":0.0008096169913187623,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]}]"
23,1466-03-28T12:00:00Z,1466-04-25T12:00:00Z,29,1466-04-09T12:00:00Z,1,1,3,3.5654664039611816,"[{""component_p"":1.4867758181935642e-05,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07""],""module_ids"":[""m010""],""bodies"":[""Venus"",""Mars"",""Pluto""]},{""component_p"":0.0018408987671136856,""best_module_id"":""m036"",""best_module_label"":""Pluto\u2013Uranus\u2013Neptune midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m036""],""bodies"":[""Pluto"",""Uranus"",""Neptune""]},{""component_p"":0.009937068447470665,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]}]"
24,0212-04-18T12:00:00Z,0212-06-04T12:00:00Z,48,0212-05-06T12:00:00Z,1,1,3,2.9032959938049316,"[{""component_p"":5.406457421486266e-05,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.003771004034206271,""best_module_id"":""m068"",""best_module_label"":""Mars\u2013Jupiter\u2013Pluto\u2013Saturn symmetric compression"",""families"":[""f16_2020_mar11""],""module_ids"":[""m068""],""bodies"":[""Mars"",""Jupiter"",""Pluto"",""Saturn""]},{""component_p"":0.006128219421952963,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
25,1464-04-13T12:00:00Z,1464-06-08T12:00:00Z,57,1464-04-23T12:00:00Z,1,1,3,2.5326921939849854,"[{""component_p"":7.704201561864465e-05,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.00506585044786334,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07"",""f06_2025_sep10""],""module_ids"":[""m010"",""m017""],""bodies"":[""Venus"",""Mars"",""Pluto""]},{""component_p"":0.007514975965023041,""best_module_id"":""m036"",""best_module_label"":""Pluto\u2013Uranus\u2013Neptune midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m036""],""bodies"":[""Pluto"",""Uranus"",""Neptune""]}]"
26,0662-08-19T12:00:00Z,0662-09-10T12:00:00Z,23,0662-08-30T12:00:00Z,1,1,2,4.362447738647461,"[{""component_p"":4.054842975165229e-06,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]},{""component_p"":0.0010704785818234086,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]}]"
27,1486-05-24T12:00:00Z,1486-05-24T12:00:00Z,1,1486-05-24T12:00:00Z,1,1,2,4.289433479309082,"[{""component_p"":1.3516144008463016e-06,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17""],""module_ids"":[""m005""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.003799387952312827,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]}]"
28,0322-09-06T12:00:00Z,0322-09-11T12:00:00Z,6,0322-09-09T12:00:00Z,1,1,2,4.161838054656982,"[{""component_p"":4.054842975165229e-06,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28""],""module_ids"":[""m031""],""bodies"":[""Venus"",""Uranus""]},{""component_p"":0.0016989792929962277,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
29,1200-06-09T12:00:00Z,1200-08-06T12:00:00Z,59,1200-06-30T12:00:00Z,1,1,2,4.027923107147217,"[{""component_p"":4.054842975165229e-06,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.0023126122541725636,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]}]"
30,0160-07-11T12:00:00Z,0160-08-19T12:00:00Z,40,0160-07-26T12:00:00Z,1,1,2,3.956108570098877,"[{""component_p"":5.406457603385206e-06,""best_module_id"":""m061"",""best_module_label"":""Apr 5 Saturn\u2013Neptune double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m061""],""bodies"":[""Saturn"",""Neptune""]},{""component_p"":0.0020463441032916307,""best_module_id"":""m031"",""best_module_label"":""Venus\u2013Uranus opposition gate"",""families"":[""f09_1914_jun28"",""f13_1947_nov29""],""module_ids"":[""m031"",""m049""],""bodies"":[""Venus"",""Uranus""]}]"
